Ticket;Open;Type;Volume;Symbol;Price;SL;TP;Close;Price;Swap;Commissions;Profit;Pips;"Trade duration in seconds"
199264770;"2025-01-16 20:48:23";buy;0.25;EURUSD;1.02973;0;1.03026;"2025-01-16 21:04:17";1.03026;0;-0.72;12.86;5.3;954
198794087;"2025-01-14 21:52:06";sell;0.25;EURUSD;1.03;1.03052;1.02948;"2025-01-14 22:16:15";1.02983;0;-0.72;4.13;1.7;1449
198791138;"2025-01-14 21:30:10";sell;0.25;GBPCHF;1.11406;1.11481;1.11329;"2025-01-14 21:52:01";1.11411;0;-0.72;-1.33;-0.5;1311
198789972;"2025-01-14 21:19:02";buy;0.50;EURUSD;1.02999;1.0304;0;"2025-01-14 21:37:32";1.03042;0;-1.46;20.87;4.3;1110
198789064;"2025-01-14 21:13:07";sell;0.50;EURUSD;1.02964;0;0;"2025-01-14 21:19:06";1.03001;0;-1.46;-17.96;-3.7;359
198544207;"2025-01-13 20:53:23";sell;0.50;EURUSD;1.02176;1.0215;1.02068;"2025-01-13 21:05:49";1.02137;0;-1.46;19.09;3.9;746
198543489;"2025-01-13 20:48:38";buy;0.02;EURUSD;1.02216;0;0;"2025-01-13 20:53:28";1.02176;0;-0.06;-0.78;-4;290
