Level,Message,Timestamp
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/manager/initializer/ConfigManager.py"", line 68, in run_starting_setup
    trades: list = self._mongo_db_trades.find_trade_or_trades_by_id()
",2025-01-31 19:18:45
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/db/mongodb/mongoDBTrades.py"", line 50, in find_trade_or_trades_by_id
    res = self.find_order_or_orders_by_id(_ids)
",2025-01-31 19:18:45
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/db/mongodb/mongoDBTrades.py"", line 66, in find_order_or_orders_by_id
    orders.append(self._trade_mapper.map_order_from_db(orderInRes))
",2025-01-31 19:18:45
ERROR,"  File ""/Users/lauris/PycharmProjects/AutomatedTrading/app/mappers/TradeMapper.py"", line 114, in map_order_from_db
    except Exception:
",2025-01-31 19:18:45
ERROR,"KeyboardInterrupt
",2025-01-31 19:18:45
INFO,TradingService initialized,2025-01-31 19:19:43
INFO,Initializing ConfigManager,2025-01-31 19:19:45
INFO,"Mapping Trade,TradingId:dbc8ab76-e320-4ed2-877b-d9feaf3740df",2025-01-31 19:19:48
INFO,"Mapping Order,OrderLinkId:22e78fc3-9132-4098-8212-e970b757c8b1,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:20:00
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:20:01
INFO,"Mapping Order,OrderLinkId:743d7df4-b30e-43da-b564-28f9543374c7,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:26:40
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:26:41
INFO,"Mapping Trade,TradingId:b949b33e-6e71-408c-a81d-7fba18b75547",2025-01-31 19:26:51
INFO,"Mapping Order,OrderLinkId:36d7073d-1e27-4525-b981-479bd7287714,Symbol:XRPUSDT,TradeId:None",2025-01-31 19:26:52
CRITICAL,Mapping of Object Failed: Framework,2025-01-31 19:26:53
